날짜,SPX Index,SPXT Index,VOO US Equity,KBPMGO10 Index,148070 KS Equity
2008-04-07,1336030,2109950,#N/A N/A,174.7102,#N/A N/A
2008-04-08,1335500,2109820,#N/A N/A,175.5453,#N/A N/A
2008-04-09,1326180,2095270,#N/A N/A,175.5693,#N/A N/A
2008-04-10,1325720,2094640,#N/A N/A,176.8762,#N/A N/A
2008-04-11,1301170,2056000,#N/A N/A,176.3149,#N/A N/A
2008-04-14,1301150,2055990,#N/A N/A,176.2703,#N/A N/A
2008-04-15,1324220,2092460,#N/A N/A,176.5272,#N/A N/A
2008-04-16,1351670,2136080,#N/A N/A,176.4346,#N/A N/A
2008-04-17,1365560,2158080,#N/A N/A,176.4577,#N/A N/A
2008-04-18,1391240,2198660,#N/A N/A,176.1328,#N/A N/A
2008-04-21,1376440,2175330,#N/A N/A,176.2051,#N/A N/A
2008-04-22,1372020,2168390,#N/A N/A,176.5776,#N/A N/A
2008-04-23,1367420,2161130,#N/A N/A,176.3686,#N/A N/A
2008-04-24,1381940,2184100,#N/A N/A,176.6256,#N/A N/A
2008-04-25,1391250,2198820,#N/A N/A,176.3005,#N/A N/A
2008-04-28,1391690,2199620,#N/A N/A,176.4892,#N/A N/A
2008-04-29,1392470,2200920,#N/A N/A,176.6296,#N/A N/A
2008-04-30,1393210,2202180,#N/A N/A,176.6537,#N/A N/A
2008-05-01,1412860,2233660,#N/A N/A,176.6777,#N/A N/A
2008-05-02,1427400,2256650,#N/A N/A,176.4695,#N/A N/A
2008-05-05,1419460,2244280,#N/A N/A,176.542,#N/A N/A
2008-05-06,1440240,2277230,#N/A N/A,176.4503,#N/A N/A
2008-05-07,1436440,2272160,#N/A N/A,175.8976,#N/A N/A
2008-05-08,1454290,2300500,#N/A N/A,173.5241,#N/A N/A
2008-05-09,1450060,2294280,#N/A N/A,173.7761,#N/A N/A
2008-05-12,1461830,2312970,#N/A N/A,173.851,#N/A N/A
2008-05-13,1468280,2323710,#N/A N/A,173.197,#N/A N/A
2008-05-14,1475430,2335430,#N/A N/A,173.56,#N/A N/A
2008-05-15,1486920,2354060,#N/A N/A,173.6982,#N/A N/A
2008-05-16,1479510,2342390,#N/A N/A,173.0457,#N/A N/A
2008-05-19,1484410,2350220,#N/A N/A,171.3315,#N/A N/A
2008-05-20,1480530,2344080,#N/A N/A,172.5781,#N/A N/A
2008-05-21,1444250,2286800,#N/A N/A,171.9364,#N/A N/A
2008-05-22,1455010,2304250,#N/A N/A,172.1867,#N/A N/A
2008-05-23,1439640,2279940,#N/A N/A,171.5476,#N/A N/A
2008-05-26,1439640,2279940,#N/A N/A,171.4024,#N/A N/A
2008-05-27,1437640,2276800,#N/A N/A,171.985,#N/A N/A
2008-05-28,1437430,2276910,#N/A N/A,172.0109,#N/A N/A
2008-05-29,1440910,2282680,#N/A N/A,171.258,#N/A N/A
2008-05-30,1439240,2280060,#N/A N/A,171.0623,#N/A N/A
2008-06-02,1419480,2248830,#N/A N/A,170.3679,#N/A N/A
2008-06-03,1400730,2219210,#N/A N/A,170.394,#N/A N/A
2008-06-04,1402680,2223400,#N/A N/A,170.5304,#N/A N/A
2008-06-05,1437040,2278050,#N/A N/A,170.7768,#N/A N/A
2008-06-06,1392790,2208150,#N/A N/A,170.8029,#N/A N/A
2008-06-09,1406220,2229520,#N/A N/A,168.8055,#N/A N/A
2008-06-10,1394440,2210840,#N/A N/A,168.0549,#N/A N/A
